shares,orders
100,136310002
200,17467585
300,7921096
500,6935580
400,5515653
1000,3970543
1,2997088
600,2570187
10,2153820
800,2047714
700,1991714
15,1388089
900,1062176
2,1043728
5,972229
1500,969291
2000,823673
1100,758369
1200,735041
20,670188
1300,603166
2500,587807
14,553411
30,545717
3,521615
25,501369
50,467054
4,454337
1400,436155
1700,368587
1600,341602
1800,310494
6,297588
7,266473
94,262859
1900,254117
8,248517
18,240364
9,240019
3000,237107
