slots_at_least,side_samples
1,5938
4,1
8,24
16,182
32,160
64,327
128,473
256,817
512,1802
1024,2718
2048,7089
4096,12697
8192,23842
16384,51606
32768,109988
65536,132856
131072,119803
262144,85290
524288,45812
1048576,19252
2097152,6845
4194304,1664
8388608,560
16777216,362
33554432,166
67108864,103
134217728,134
268435456,48
1073741824,285328
