slots_at_least,side_samples
1,1800
2,1
4,22
8,66
16,433
32,289
64,243
128,105
256,1035
512,1521
1024,3118
2048,7056
4096,11761
8192,23037
16384,53750
32768,106553
65536,140395
131072,129253
262144,89451
524288,47378
1048576,20575
2097152,6438
4194304,1475
8388608,869
16777216,501
33554432,134
67108864,173
134217728,53
268435456,1
536870912,952
1073741824,293948
