shares,orders
100,88502248
200,10464088
300,4767488
500,3834654
400,3567392
1,2176670
1000,1902513
10,1753289
600,1540822
800,1266446
700,1197687
5,858177
2,821803
900,665910
15,574380
1500,540702
30,534738
2000,524531
20,486429
3,403235
2500,396774
50,394463
1100,367994
1200,356559
1300,332000
4,310447
1400,280753
6,213278
1600,205060
7,178200
8,177935
25,176859
1700,176044
1800,174125
9,171904
14,163911
1900,161051
12,153846
40,149090
11,138462
