bucket,orders
< 1 us,7
1-10 us,193
10-100 us,222449
100 us - 1 ms,180300
1-10 ms,299130
10-100 ms,380628
100 ms - 1 s,695849
1-10 s,1006459
10-60 s,374957
1-10 min,139439
> 10 min,46205
